date,cost_rank,config_label,N_L2,N_DC50,N_DC150,N_DC350,capex_daily,energy_cost,demand_global,demand_peak_win,total_op_cost,peak_kw,peak_win_kw,n_vehicles,n_fully_served,n_partially_served,n_vehicles_served,n_unserved,vehicles_served_pct,energy_demanded_kwh,energy_delivered_kwh,energy_served_pct,solve_time_s,mip_gap,solver_status,is_worst10
2025-11-19,38,1×L2 + 1×DC50 + 1×DC150 + 3×DC350,1,1,1,3,456.94,408.88,7228.48,8356.44,16450.74,1120.0,839.0,24,21,3,24,0,100.0,3100.6,3589.2,115.8,0.2,0.0441,optimal,False
2025-05-12,39,2×L2 + 4×DC50 + 2×DC150 + 3×DC350,2,4,2,3,624.86,533.95,6841.24,8266.8,16266.85,1060.0,830.0,34,30,4,34,0,100.0,4256.4,4837.5,113.7,0.4,0.0098,optimal,False
2025-09-22,40,1×L2 + 1×DC150 + 4×DC350,1,0,1,4,542.54,633.38,7868.72,7163.23,16207.87,1219.2,719.2,32,27,5,32,0,100.0,3478.7,4225.9,121.5,0.1,0.0307,optimal,False
2025-06-24,41,1×L2 + 1×DC50 + 2×DC150 + 3×DC350,1,1,2,3,519.94,502.63,5937.68,9163.2,16123.46,920.0,920.0,26,23,3,26,0,100.0,2783.7,3131.0,112.5,1.8,0.0019,optimal,False
2025-06-10,42,1×L2 + 4×DC50 + 5×DC150 + 6×DC350,1,4,5,6,1158.91,587.49,5744.06,8466.0,15956.46,890.0,850.0,30,26,4,30,0,100.0,3413.6,3893.0,114.0,0.2,0.0454,optimal,False
2025-09-25,43,1×DC50 + 2×DC150 + 3×DC350,0,1,2,3,511.59,734.77,8196.58,6474.0,15916.94,1270.0,650.0,39,33,6,39,0,100.0,4510.3,5130.0,113.7,0.3,0.0026,optimal,False
2025-05-13,44,2×DC50 + 5×DC150 + 2×DC350,0,2,5,2,615.0,488.28,7680.26,6972.0,15755.55,1190.0,700.0,30,26,4,30,0,100.0,3296.2,3930.8,119.3,0.5,0.005,optimal,False
2026-04-08,45,3×DC50 + 6×DC150 + 3×DC350,0,3,6,3,827.99,274.05,5744.06,8864.4,15710.5,890.0,890.0,13,11,2,13,0,100.0,1965.2,2052.0,104.4,0.2,0.0458,optimal,False
2026-01-14,46,1×L2 + 1×DC50 + 3×DC350,1,1,0,3,393.93,306.5,5867.98,9055.63,15624.03,909.2,909.2,20,16,4,20,0,100.0,2213.8,2457.3,111.0,1.2,0.0234,optimal,False
2025-12-02,47,1×DC50 + 3×DC150 + 2×DC350,0,1,3,2,456.8,331.02,5808.6,8964.0,15560.42,900.0,900.0,23,21,2,23,0,100.0,2390.8,2821.5,118.0,0.1,0.0372,optimal,False
2025-05-16,48,1×DC50 + 2×DC150 + 2×DC350,0,1,2,2,393.79,458.4,6454.0,8167.2,15473.4,1000.0,820.0,26,24,2,26,0,100.0,3417.3,3813.8,111.6,1.1,0.0357,optimal,False
2025-10-29,49,1×L2 + 2×DC50 + 3×DC150 + 3×DC350,1,2,3,3,615.14,386.35,6776.7,7669.2,15447.39,1050.0,770.0,25,23,2,25,0,100.0,2880.1,3430.3,119.1,0.1,0.0422,optimal,False
2025-10-20,50,1×DC50 + 2×DC150 + 2×DC350,0,1,2,2,393.79,583.6,6260.38,8167.2,15404.97,970.0,820.0,31,26,5,31,0,100.0,4091.8,4691.2,114.7,0.7,0.0347,optimal,False
