date,cost_rank,config_label,N_L2,N_DC50,N_DC150,N_DC350,capex_daily,energy_cost,demand_global,demand_peak_win,total_op_cost,peak_kw,peak_win_kw,n_vehicles,n_fully_served,n_partially_served,n_vehicles_served,n_unserved,vehicles_served_pct,energy_demanded_kwh,energy_delivered_kwh,energy_served_pct,solve_time_s,mip_gap,solver_status,is_worst10
2026-03-04,26,1×L2 + 1×DC50 + 1×DC150 + 10×DC350,1,1,1,10,1281.5,1883.52,14305.9,0.0,17470.92,2974.2,750.0,88,76,12,88,0,100.0,10097.7,12034.3,119.2,0.2,0.0478,optimal,False
2025-12-22,27,1×L2 + 2×DC50 + 2×DC150 + 12×DC350,1,2,2,12,1612.29,1738.13,14117.35,0.0,17467.77,2935.0,350.0,81,65,16,81,0,100.0,10280.5,11895.1,115.7,0.3,0.0257,optimal,False
2025-05-08,28,3×L2 + 3×DC50 + 6×DC150 + 6×DC350,3,3,6,6,1206.44,1930.02,14285.7,0.0,17422.16,2970.0,700.0,86,79,7,86,0,100.0,10371.5,12484.6,120.4,19.0,0.0051,optimal,False
2026-04-15,29,1×L2 + 1×DC50 + 2×DC150 + 9×DC350,1,1,2,9,1226.71,1640.23,14430.0,0.0,17296.95,3000.0,700.0,75,70,5,75,0,100.0,8937.0,10803.0,120.9,0.3,0.003,optimal,False
2025-08-19,30,1×L2 + 1×DC50 + 3×DC150 + 8×DC350,1,1,3,8,1171.93,1682.7,14430.0,0.0,17284.63,3000.0,700.0,76,69,7,76,0,100.0,8693.6,10774.2,123.9,0.5,0.0097,optimal,False
2026-04-28,31,1×L2 + 5×DC50 + 5×DC150 + 7×DC350,1,5,5,7,1308.9,1699.08,14141.4,0.0,17149.38,2940.0,1050.0,74,70,4,74,0,100.0,9293.5,11038.5,118.8,10.5,0.0108,optimal,False
2025-05-12,32,4×L2 + 2×DC50 + 1×DC150 + 9×DC350,4,2,1,9,1220.96,2032.62,13874.44,0.0,17128.03,2884.5,504.0,88,83,5,88,0,100.0,10590.2,12722.7,120.1,2.7,0.041,optimal,False
2025-08-14,33,1×L2 + 1×DC50 + 5×DC150 + 7×DC350,1,1,5,7,1180.14,1688.29,14189.5,0.0,17057.93,2950.0,700.0,84,75,9,84,0,100.0,9692.2,11282.2,116.4,0.4,0.0238,optimal,False
2025-05-05,34,3×L2 + 1×DC50 + 3×DC150 + 8×DC350,3,1,3,8,1188.64,1899.97,13804.7,0.0,16893.31,2870.0,1170.0,83,75,8,83,0,100.0,10274.1,12232.6,119.1,1.4,0.0022,optimal,False
2026-03-10,35,2×L2 + 1×DC50 + 1×DC150 + 9×DC350,2,1,1,9,1172.06,1956.27,13523.31,0.0,16651.65,2811.5,712.0,86,81,5,86,0,100.0,10191.2,12563.7,123.3,2.0,0.0336,optimal,False
2025-07-28,36,2×L2 + 1×DC50 + 3×DC150 + 8×DC350,2,1,3,8,1180.28,1618.32,13819.13,0.0,16617.73,2873.0,873.0,76,70,6,76,0,100.0,8917.7,10605.6,118.9,3.2,0.0097,optimal,False
2026-01-13,37,1×DC50 + 2×DC150 + 10×DC350,0,1,2,10,1336.15,2012.46,13227.5,0.0,16576.11,2750.0,530.0,95,80,15,95,0,100.0,11465.1,13347.0,116.4,0.3,0.0175,optimal,False
2026-03-11,38,2×DC50 + 3×DC150 + 9×DC350,0,2,3,9,1313.55,2350.71,12770.55,0.0,16434.81,2655.0,1710.0,97,86,11,97,0,100.0,12316.0,14566.5,118.3,8.6,0.035,optimal,False
